J 	 kT 	 kQ 	 kP 	 etaP 
1.000000e-03 	 3.185392e-01 	 2.607663e-02 	 1.638443e-01 	 1.944158e-03 
2.428980e-03 	 3.182682e-01 	 2.608195e-02 	 1.638777e-01 	 4.717340e-03 
3.857960e-03 	 3.179974e-01 	 2.608733e-02 	 1.639115e-01 	 7.484654e-03 
5.286940e-03 	 3.177264e-01 	 2.609268e-02 	 1.639452e-01 	 1.024611e-02 
6.715920e-03 	 3.174542e-01 	 2.609795e-02 	 1.639782e-01 	 1.300171e-02 
8.144900e-03 	 3.171823e-01 	 2.610320e-02 	 1.640113e-01 	 1.575147e-02 
9.573880e-03 	 3.169101e-01 	 2.610844e-02 	 1.640441e-01 	 1.849538e-02 
1.100286e-02 	 3.166374e-01 	 2.611362e-02 	 1.640767e-01 	 2.123347e-02 
1.243184e-02 	 3.163636e-01 	 2.611871e-02 	 1.641087e-01 	 2.396571e-02 
1.386082e-02 	 3.160900e-01 	 2.612381e-02 	 1.641407e-01 	 2.669214e-02 
1.528980e-02 	 3.158161e-01 	 2.612886e-02 	 1.641725e-01 	 2.941275e-02 
1.671878e-02 	 3.155417e-01 	 2.613387e-02 	 1.642040e-01 	 3.212756e-02 
1.814776e-02 	 3.152669e-01 	 2.613884e-02 	 1.642352e-01 	 3.483656e-02 
1.957674e-02 	 3.149914e-01 	 2.614376e-02 	 1.642661e-01 	 3.753973e-02 
2.100572e-02 	 3.147160e-01 	 2.614865e-02 	 1.642968e-01 	 4.023716e-02 
2.243470e-02 	 3.144392e-01 	 2.615344e-02 	 1.643269e-01 	 4.292875e-02 
2.386368e-02 	 3.141629e-01 	 2.615824e-02 	 1.643570e-01 	 4.561462e-02 
2.529266e-02 	 3.138861e-01 	 2.616299e-02 	 1.643869e-01 	 4.829469e-02 
2.672164e-02 	 3.136088e-01 	 2.616769e-02 	 1.644165e-01 	 5.096899e-02 
2.815062e-02 	 3.133304e-01 	 2.617231e-02 	 1.644455e-01 	 5.363750e-02 
2.957960e-02 	 3.130523e-01 	 2.617693e-02 	 1.644745e-01 	 5.630029e-02 
3.100858e-02 	 3.127767e-01 	 2.618178e-02 	 1.645050e-01 	 5.895725e-02 
3.243756e-02 	 3.124978e-01 	 2.618631e-02 	 1.645334e-01 	 6.160854e-02 
3.386654e-02 	 3.122194e-01 	 2.619088e-02 	 1.645622e-01 	 6.425407e-02 
3.529552e-02 	 3.119393e-01 	 2.619532e-02 	 1.645900e-01 	 6.689384e-02 
3.672450e-02 	 3.116603e-01 	 2.619980e-02 	 1.646182e-01 	 6.952797e-02 
3.815348e-02 	 3.113791e-01 	 2.620410e-02 	 1.646452e-01 	 7.215634e-02 
3.958246e-02 	 3.110990e-01 	 2.620849e-02 	 1.646728e-01 	 7.477898e-02 
4.101144e-02 	 3.108175e-01 	 2.621274e-02 	 1.646995e-01 	 7.739595e-02 
4.244042e-02 	 3.105366e-01 	 2.621703e-02 	 1.647265e-01 	 8.000719e-02 
4.386940e-02 	 3.102552e-01 	 2.622128e-02 	 1.647532e-01 	 8.261275e-02 
4.529838e-02 	 3.099722e-01 	 2.622538e-02 	 1.647789e-01 	 8.521256e-02 
4.672736e-02 	 3.096902e-01 	 2.622954e-02 	 1.648050e-01 	 8.780681e-02 
4.815634e-02 	 3.094075e-01 	 2.623363e-02 	 1.648308e-01 	 9.039532e-02 
4.958532e-02 	 3.091247e-01 	 2.623772e-02 	 1.648565e-01 	 9.297813e-02 
5.101430e-02 	 3.088402e-01 	 2.624164e-02 	 1.648811e-01 	 9.555533e-02 
5.244328e-02 	 3.085561e-01 	 2.624562e-02 	 1.649061e-01 	 9.812671e-02 
5.387226e-02 	 3.082719e-01 	 2.624953e-02 	 1.649307e-01 	 1.006926e-01 
5.530124e-02 	 3.079878e-01 	 2.625346e-02 	 1.649553e-01 	 1.032529e-01 
5.673022e-02 	 3.077021e-01 	 2.625721e-02 	 1.649789e-01 	 1.058075e-01 
5.815920e-02 	 3.074155e-01 	 2.626089e-02 	 1.650020e-01 	 1.083565e-01 
5.958818e-02 	 3.071281e-01 	 2.626451e-02 	 1.650248e-01 	 1.108998e-01 
6.101716e-02 	 3.068411e-01 	 2.626810e-02 	 1.650474e-01 	 1.134376e-01 
6.244614e-02 	 3.065529e-01 	 2.627162e-02 	 1.650695e-01 	 1.159696e-01 
6.387512e-02 	 3.062648e-01 	 2.627511e-02 	 1.650914e-01 	 1.184962e-01 
6.530410e-02 	 3.059760e-01 	 2.627853e-02 	 1.651129e-01 	 1.210171e-01 
6.673308e-02 	 3.056866e-01 	 2.628191e-02 	 1.651341e-01 	 1.235324e-01 
6.816206e-02 	 3.053972e-01 	 2.628524e-02 	 1.651550e-01 	 1.260422e-01 
6.959104e-02 	 3.051072e-01 	 2.628851e-02 	 1.651756e-01 	 1.285464e-01 
7.102002e-02 	 3.048167e-01 	 2.629174e-02 	 1.651959e-01 	 1.310450e-01 
7.244900e-02 	 3.045252e-01 	 2.629488e-02 	 1.652156e-01 	 1.335379e-01 
7.387798e-02 	 3.042335e-01 	 2.629799e-02 	 1.652352e-01 	 1.360253e-01 
7.530696e-02 	 3.039422e-01 	 2.630109e-02 	 1.652546e-01 	 1.385073e-01 
7.673594e-02 	 3.036497e-01 	 2.630409e-02 	 1.652735e-01 	 1.409836e-01 
7.816492e-02 	 3.033568e-01 	 2.630705e-02 	 1.652921e-01 	 1.434543e-01 
7.959390e-02 	 3.030640e-01 	 2.630997e-02 	 1.653104e-01 	 1.459197e-01 
8.102288e-02 	 3.027704e-01 	 2.631284e-02 	 1.653284e-01 	 1.483794e-01 
8.245186e-02 	 3.024765e-01 	 2.631565e-02 	 1.653461e-01 	 1.508336e-01 
8.388084e-02 	 3.021821e-01 	 2.631840e-02 	 1.653634e-01 	 1.532823e-01 
