alpha 	 cd 	 cl 
-5.983193e+00 	 6.724324e-02 	 -2.461637e-01 
-5.485994e+00 	 5.050818e-02 	 -1.894210e-01 
-4.988796e+00 	 3.872674e-02 	 -1.306315e-01 
-4.491597e+00 	 2.924823e-02 	 -6.979176e-02 
-3.994398e+00 	 2.265875e-02 	 -8.073655e-03 
-3.497199e+00 	 1.768127e-02 	 5.472116e-02 
-3.000000e+00 	 1.295754e-02 	 1.190836e-01 
-2.502801e+00 	 9.974686e-03 	 1.781784e-01 
-2.005602e+00 	 8.312558e-03 	 2.342732e-01 
-1.508403e+00 	 6.591002e-03 	 2.994437e-01 
-1.011204e+00 	 5.779866e-03 	 3.594343e-01 
-5.140056e-01 	 5.133962e-03 	 4.220110e-01 
-1.680672e-02 	 5.157345e-03 	 4.875987e-01 
4.803922e-01 	 5.255376e-03 	 5.444767e-01 
9.775910e-01 	 5.272441e-03 	 6.059781e-01 
1.474790e+00 	 5.538660e-03 	 6.673256e-01 
1.971989e+00 	 6.189837e-03 	 7.261322e-01 
2.469188e+00 	 7.290749e-03 	 7.560364e-01 
2.966387e+00 	 8.525880e-03 	 7.766413e-01 
3.463585e+00 	 9.928612e-03 	 7.948340e-01 
3.960784e+00 	 1.171087e-02 	 8.138992e-01 
4.457983e+00 	 1.409715e-02 	 8.404067e-01 
4.955182e+00 	 1.706717e-02 	 8.759013e-01 
5.452381e+00 	 2.128172e-02 	 9.167656e-01 
5.949580e+00 	 2.702950e-02 	 9.661125e-01 
